entity	raw_type	final_type	type_source	notes
ABCD1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCD2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCD3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCD4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCE1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCF1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCG1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCG2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABCG5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABCG8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABHD12	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABHD12B	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABI3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABI3BP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABL1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABL2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ABLIM1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABO	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABR	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABRAXAS1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ABT1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACAA2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACACA	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACACB	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACAD8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACADM	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACADS	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACADSB	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACAN	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACAP1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACAT1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACCS	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACE	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACE2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACER3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACHE	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACIN1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACKR1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACKR3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACLY	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACO1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACO2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACOT1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACOT2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACOT6	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACOX1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACOXL	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACP1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACP3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACP5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACRBP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACSL1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACSL4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACSL5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACSL6	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACSM1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACSM3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACSS2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACTA1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTA2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTB	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTC1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTG1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACTG2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTH-dependent Cushing syndrome	disease	Disease	raw_json	context_agree:split_relation_tail
ACTL9	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTN4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTR2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTRT1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACTRT2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACVR1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACVR1B	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ACVR1C	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACVR2A	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACVR2B	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACVRL1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ACY1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADA	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADA2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAM10	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAM12	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAM19	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAM22	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAM28	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAM29	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAM33	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAM9	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS12	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS13	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS15	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS17	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS18	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS19	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS20	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS7	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTS9	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAMTSL3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAR	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADARB1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADARB2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADAT3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADCY1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADCY2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADCY3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADCY5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADCY7	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADCY8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADCYAP1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADCYAP1R1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADD1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADD3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADGRE2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADGRF4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADGRG1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADGRG2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADGRG7	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADGRL3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADH1A	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADH1B	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADH1C	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADH4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADH5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADH6	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADH7	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADHFE1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADI1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADIPOQ	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADIPOR1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADIPOR2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADK	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADM	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADM2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADNP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADNP2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADORA1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADORA2A	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADORA2B	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADORA3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRA1A	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRA1B	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRA1D	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRA2A	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRA2B	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRA2C	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRB1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRB2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADRB3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADSL	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ADSS1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADSS2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ADTRP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AFAP1L2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AFF1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AFF3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AFF4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AFG1L	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AFP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGA	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGAP1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGAP2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGBL4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGER	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGK	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGL	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGMO	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGO1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGO2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGPAT2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGPS	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGR2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGRN	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGRP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGT	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AGTPBP1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AGTR1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AGTR2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AGXT	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AGXT2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AH amyloidosis	disease	Disease	raw_json	context_agree:split_relation_tail
AHCY	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AHCYL2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AHI1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AHNAK	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AHR	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AHSA2P	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AHSG	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AHSP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AICDA	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AIDS	disease	Disease	raw_json	context_agree:split_relation_tail
AIF1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AIFM1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AIMP2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AIP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AIRE	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AK1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AK2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AK4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP10	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP12	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP13	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP6	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP7	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKAP9	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKR1A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKR1B1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AKR1B10	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AKR1C1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AKR1C2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AKR1C3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AKR1C4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKR1D1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
AKT2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AKT3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AL amyloidosis	disease	Disease	raw_json	context_agree:split_relation_tail
ALAD	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALAS1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALAS2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALB	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALCAM	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH16A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH18A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH1A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALDH1A2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALDH1A3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALDH1B1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH1L1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALDH3A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH3B1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH3B2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH5A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALDH6A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDH7A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALDH8A1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALDOA	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALDOB	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALG13	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALG8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALG9	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALK	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALK-positive large B-cell lymphoma	disease	Disease	raw_json	context_agree:split_relation_tail
ALKBH2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALKBH3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALKBH8	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALOX12	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALOX12B	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALOX15	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALOX5	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALOX5AP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALOXE3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALPG	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
ALPK1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALPK2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALPK3	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALPL	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALS2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALS2CL	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALX4	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
ALYREF	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMACR	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMBP	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMBRA1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMDHD2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMER1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMER2	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMFR	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMMECR1	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:associated_with:head
AMN	gene/protein	Protein_or_Gene	raw_json	context_agree:graph_rule:target:tail
